episode,avg_reward,success_rate,agent_rewards,agent_success,run_id
0,10.179463347979311,0.0,"[29.91707376570108, 7.777205896731407, 4.844553768526635, -1.6190441919436271, 9.97752750088106]","[False, False, False, False, False]",0
1,32.489002554023095,0.0,"[28.800000079999972, 30.545012600115633, 34.59999999999995, 33.80000006999996, 34.70000001999997]","[False, False, False, False, False]",0
2,32.400000007999964,0.0,"[24.299999999999983, 29.299999999999958, 39.300000009999955, 34.90000001999995, 34.200000009999954]","[False, False, False, False, False]",0
3,35.69068965585918,0.0,"[39.299999999999955, 31.600000009999956, 32.99999999999996, 36.000000019999966, 38.55344824929607]","[False, False, False, False, False]",0
4,34.359999999999964,0.0,"[37.59999999999994, 37.999999999999964, 33.59999999999996, 30.399999999999967, 32.19999999999998]","[False, False, False, False, False]",0
5,34.634827561014504,0.0,"[38.20000002999995, 36.75344824929605, 34.760344747888276, 30.96034474788827, 32.50000002999997]","[False, False, False, False, False]",0
6,31.599999999999966,0.0,"[28.29999999999998, 35.79999999999995, 36.19999999999996, 34.999999999999964, 22.699999999999985]","[False, False, False, False, False]",0
7,35.859999999999964,0.0,"[28.699999999999985, 44.799999999999955, 36.19999999999996, 40.39999999999994, 29.19999999999998]","[False, False, False, False, False]",0
8,29.819999999999972,0.0,"[32.599999999999966, 28.59999999999997, 24.69999999999998, 32.699999999999974, 30.499999999999954]","[False, False, False, False, False]",0
9,33.07999999999996,0.0,"[27.29999999999998, 36.799999999999955, 28.59999999999997, 27.09999999999997, 45.599999999999945]","[False, False, False, False, False]",0
